id,lang,text,entropy_H,gold,pred,probs,error_type
2018-En-04123,en,Very high bond for unrelated offense.  Cops and FBI are digging on a property. Me fears this doesn't end well for families,0.2753295600414276,fear,"anger,disgust,fear,pessimism,sadness","anger:0.389,anticipation:0.043,disgust:0.388,fear:0.993,joy:0.004,love:0.008,optimism:0.006,pessimism:0.255,sadness:0.626,surprise:0.014,trust:0.011",
2018-En-03162,en,"It's rained every day since June 30. That's 13 #dreary, #soggy days in a row. #auckland",0.2750657796859741,"joy,pessimism,sadness","anger,disgust,sadness","anger:0.494,anticipation:0.022,disgust:0.653,fear:0.226,joy:0.035,love:0.002,optimism:0.010,pessimism:0.138,sadness:0.891,surprise:0.013,trust:0.001",
2018-En-02573,en,@praddy06 sir.. will we have the need for umbrella today evening.. sun seems to be stronger to pave way for clouds.. 😟,0.2676685154438019,"anticipation,joy","anger,anticipation,pessimism,sadness","anger:0.240,anticipation:0.137,disgust:0.282,fear:0.046,joy:0.050,love:0.002,optimism:0.026,pessimism:0.455,sadness:0.989,surprise:0.024,trust:0.002",
2018-En-04296,en,Hes no even scared of em anymore 😂,0.26451969146728516,"disgust,fear","anticipation,fear,joy,optimism","anger:0.004,anticipation:0.255,disgust:0.010,fear:0.873,joy:0.966,love:0.196,optimism:0.484,pessimism:0.023,sadness:0.027,surprise:0.036,trust:0.036",
2018-En-00851,en,@maritzabuys666 Looks wonderful!!!  Wish it was my cock tho!!!  😍,0.2623176574707031,"joy,optimism","anticipation,joy,love,surprise","anger:0.010,anticipation:0.378,disgust:0.016,fear:0.035,joy:0.996,love:0.907,optimism:0.401,pessimism:0.011,sadness:0.014,surprise:0.222,trust:0.072",
2018-En-02424,en,work is going to kill me and 5 o'clock is nowhere near 😟,0.26210787892341614,"fear,sadness","anger,disgust,pessimism,sadness","anger:0.787,anticipation:0.025,disgust:0.607,fear:0.351,joy:0.004,love:0.004,optimism:0.004,pessimism:0.534,sadness:0.989,surprise:0.015,trust:0.003",
2018-En-00391,en,"So me and my mom were talking about highschool, I'm shy so she said that she thinks I'm gonna get bullied😒 #shy #me #mylife #moms #bullying",0.25668764114379883,"anger,fear,pessimism","anger,disgust,sadness","anger:0.977,anticipation:0.029,disgust:0.810,fear:0.388,joy:0.017,love:0.005,optimism:0.012,pessimism:0.214,sadness:0.630,surprise:0.007,trust:0.003",
2018-En-03262,en,@_jesskardashian @trevschan2 both are awesome.  People are missing out not watching fear!!!,0.2531604468822479,"anticipation,joy","fear,joy,optimism,trust","anger:0.009,anticipation:0.049,disgust:0.026,fear:0.766,joy:0.960,love:0.364,optimism:0.927,pessimism:0.007,sadness:0.004,surprise:0.019,trust:0.316",
2018-En-02237,en,"'You're here to feed me. I won't die of starvation,' he said, slightly smiling. I frowned. Panira. Kainis.",0.24803794920444489,"anger,anticipation,disgust,joy","joy,optimism","anger:0.021,anticipation:0.036,disgust:0.056,fear:0.014,joy:0.976,love:0.187,optimism:0.603,pessimism:0.038,sadness:0.134,surprise:0.043,trust:0.046",
2018-En-01678,en,"@ehtesham_toi @RaviShastriOfc unfortunate decision, our players are more of superstars than cricketers. BCCI scared of their tantrums.",0.2426585704088211,fear,"anger,disgust,fear,pessimism,sadness","anger:0.272,anticipation:0.020,disgust:0.420,fear:0.963,joy:0.007,love:0.005,optimism:0.005,pessimism:0.328,sadness:0.905,surprise:0.010,trust:0.006",
2018-En-00835,en,well my day started off great 🙃 the mocha machine wasn't working @ mcdonalds.,0.24038125574588776,"anger,disgust,joy,sadness","joy,optimism","anger:0.119,anticipation:0.055,disgust:0.139,fear:0.016,joy:0.986,love:0.014,optimism:0.488,pessimism:0.025,sadness:0.170,surprise:0.027,trust:0.007",
2018-En-01187,en,Wow what's up with #snap 😲📊📉⬇#cnnmoney,0.2257133573293686,"joy,surprise","anger,anticipation,disgust,surprise","anger:0.925,anticipation:0.148,disgust:0.875,fear:0.026,joy:0.022,love:0.003,optimism:0.006,pessimism:0.030,sadness:0.110,surprise:0.327,trust:0.003",
2018-En-00171,en,"﻿2|206|When it is said to him, 'Fear Allah', He is led by arrogance to (more) crime. Enough for him is Hell;-",0.21680355072021484,"anger,fear,pessimism,sadness","anger,disgust","anger:0.959,anticipation:0.017,disgust:0.839,fear:0.085,joy:0.004,love:0.003,optimism:0.027,pessimism:0.172,sadness:0.406,surprise:0.003,trust:0.013",
